City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Okhotsk,0,RU,1579611152,69,59.38,143.3,-17.82,6.6
Castro,78,BR,1579611153,72,-24.79,-50.01,67.08,4.52
Dunedin,100,NZ,1579611154,97,-45.87,170.5,60.01,10.18
Tura,36,IN,1579611155,48,25.52,90.22,61.74,1.79
Ormond Beach,1,US,1579611156,75,29.29,-81.06,44.01,11.41
Hermanus,62,ZA,1579611157,84,-34.42,19.23,81.0,18.01
Nanortalik,100,GL,1579611158,76,60.14,-45.24,32.81,9.78
Port Alfred,100,ZA,1579611160,88,-33.59,26.89,67.95,22.46
Bereda,75,ES,1579611161,70,43.27,-7.54,51.01,10.29
Olafsvik,95,IS,1579611162,84,64.89,-23.71,36.18,10.63
San Vicente de Canete,99,PE,1579611163,95,-13.08,-76.38,69.04,3.51
George Town,20,MY,1579610929,70,5.41,100.34,84.2,4.7
Klaksvik,100,FO,1579611165,75,62.23,-6.59,42.8,28.86
Ponta do Sol,40,PT,1579611166,71,32.67,-17.1,57.2,18.34
Hilo,90,US,1579611167,83,19.73,-155.09,73.99,5.82
Punta Arenas,75,CL,1579611169,58,-53.15,-70.92,53.6,24.16
Bereket,24,TM,1579611170,52,39.24,55.52,35.04,1.77
Torbay,20,CA,1579611171,78,47.67,-52.73,17.01,5.82
New Norfolk,20,AU,1579611172,67,-42.78,147.06,59.0,2.24
El Fuerte,0,MX,1579611173,63,26.42,-108.62,62.94,3.24
Katsuura,20,JP,1579611174,42,35.13,140.3,44.6,17.22
Kiryat Gat,75,IL,1579610944,87,31.61,34.76,54.0,5.82
Sorland,75,NO,1579611177,80,67.67,12.69,33.8,34.45
Ormara,0,PK,1579611178,48,25.21,64.64,70.11,3.38
Ilhabela,39,BR,1579611179,75,-23.78,-45.36,73.8,2.15
Portland,90,US,1579610990,81,45.52,-122.68,45.0,3.36
Hofn,100,IS,1579611181,67,64.25,-15.21,41.61,20.94
La Sarre,100,CA,1579611182,85,48.8,-79.2,9.36,10.6
Korla,0,CN,1579611183,87,41.76,86.15,24.01,1.01
Sao Filipe,13,CV,1579611185,69,14.9,-24.5,72.66,6.29
Cedar City,90,US,1579611186,64,37.68,-113.06,39.2,11.41
Thompson,90,CA,1579611187,84,55.74,-97.86,6.8,3.36
Santa Isabel do Rio Negro,85,BR,1579611188,97,-0.41,-65.02,75.54,1.01
Bredasdorp,100,ZA,1579611189,88,-34.53,20.04,69.01,16.11
Isangel,17,VU,1579611191,78,-19.55,169.27,71.6,4.7
Bilibino,100,RU,1579611192,99,68.05,166.44,-29.54,2.66
Birao,4,CF,1579611193,11,10.28,22.79,84.99,17.45
Mar del Plata,90,AR,1579611194,93,-38.0,-57.56,66.2,9.17
Airai,100,TL,1579611195,85,-8.93,125.41,69.31,4.68
Salinas,90,US,1579611196,93,36.68,-121.66,52.0,4.7
Moree,0,AU,1579611198,25,-29.47,149.85,77.0,3.36
Malanje,93,AO,1579611199,57,-9.54,16.34,82.02,5.66
Kavieng,0,PG,1579611200,78,-2.57,150.8,83.14,12.24
Kurikka,31,FI,1579611201,64,62.58,22.42,37.4,12.75
Poum,16,NC,1579611202,71,-20.23,164.02,78.57,14.65
Provideniya,95,RU,1579611203,96,64.38,-173.3,-1.79,2.1
Ishigaki,0,JP,1579611204,68,24.34,124.16,68.7,11.56
Salalah,40,OM,1579611205,57,17.02,54.09,77.0,10.29
Maceio,75,BR,1579610977,55,-9.67,-35.74,87.8,9.17
Mali,100,GN,1579611208,20,12.08,-12.3,95.0,6.93
Narsaq,75,GL,1579611209,74,60.92,-46.05,33.8,6.93
Roebourne,0,AU,1579611210,40,-20.78,117.13,90.46,18.66
Wonthaggi,0,AU,1579611211,85,-38.6,145.59,57.99,4.5
Popondetta,97,PG,1579611213,91,-8.75,148.25,74.88,3.44
Asau,68,RO,1579611214,59,46.43,26.4,43.0,3.36
Biak,33,ID,1579611215,69,-0.91,122.88,82.63,11.61
Hobart,20,AU,1579611159,67,-42.88,147.33,59.0,2.24
Marzuq,26,YE,1579611217,22,14.4,46.47,80.87,8.5
High Level,90,CA,1579611218,85,58.52,-117.14,17.6,2.24
Dwarka,0,IN,1579611219,50,22.24,68.97,74.25,8.21
Emerald,89,AU,1579611220,58,-23.53,148.17,84.2,13.87
Arraial do Cabo,40,BR,1579611222,74,-22.97,-42.03,78.8,6.93
Hasaki,20,JP,1579611223,64,35.73,140.83,34.0,2.24
Constitucion,0,CL,1579611224,50,-35.33,-72.42,67.03,2.08
Lorengau,98,PG,1579611225,76,-2.02,147.27,83.66,13.06
Shumikha,69,RU,1579611226,97,55.23,63.3,2.59,4.18
Zhigansk,100,RU,1579611227,95,66.77,123.37,-18.15,13.18
Cherskiy,100,RU,1579611228,98,68.75,161.3,-22.56,6.15
Iqaluit,5,CA,1579611073,67,63.75,-68.51,-27.0,16.11
Saskylakh,85,RU,1579611231,96,71.92,114.08,-24.12,5.5
Port Lincoln,68,AU,1579611232,60,-34.73,135.87,70.0,8.46
Ancud,0,CL,1579611233,63,-41.87,-73.82,66.2,16.11
La Rioja,75,ES,1579611234,93,42.25,-2.5,37.4,9.17
Sarahan,100,IN,1579611235,98,31.52,77.8,17.56,6.04
La Paz,75,BO,1579611009,81,-16.5,-68.15,46.4,2.24
Byron Bay,40,AU,1579611238,83,-28.65,153.62,78.01,11.41
Westport,1,US,1579610942,67,41.14,-73.36,23.0,5.82
Petropavlovsk-Kamchatsky,62,RU,1579611240,84,53.05,158.65,3.2,11.18
Mossamedes,0,AO,1579611241,84,-15.2,12.15,75.97,14.99
Talcher,14,IN,1579611242,46,20.95,85.22,75.51,3.58
Northam,20,GB,1579611243,100,51.03,-4.22,45.0,1.12
Bahia Honda,62,CU,1579611245,71,22.9,-83.16,66.7,15.7
Lebu,0,CL,1579611246,60,-37.62,-73.65,60.48,5.01
Saint-Francois,0,FR,1579611247,56,46.42,3.91,42.8,3.94
Marystown,40,CA,1579611248,84,47.17,-55.15,25.32,17.02
Arrondissement de Saint-Gaudens,90,FR,1579611249,75,43.08,0.67,50.0,5.82
Stornoway,75,GB,1579611250,93,58.21,-6.39,46.99,5.82
Carutapera,100,BR,1579611185,82,-1.2,-46.02,81.48,18.14
Dikson,37,RU,1579611252,79,73.51,80.55,-15.45,23.49
Cabo San Lucas,0,MX,1579611254,76,22.89,-109.91,57.99,7.05
Chui,26,UY,1579611064,83,-33.7,-53.46,76.33,7.25
Gelibolu,40,TR,1579611256,52,40.41,26.67,42.8,12.75
Bend,1,US,1579611257,45,44.06,-121.32,46.99,13.87
Garoowe,6,SO,1579611258,21,8.41,48.48,86.5,4.47
Slantsy,100,RU,1579611259,70,59.12,28.09,40.93,15.37
Yellowknife,90,CA,1579611260,77,62.46,-114.35,-2.0,10.29
Tual,42,ID,1579611262,80,-5.67,132.75,83.48,12.55
Fort Nelson,20,CA,1579611263,83,58.81,-122.7,-7.6,1.97
Mayor Pablo Lagerenza,87,PY,1579611264,52,-19.93,-60.77,88.84,11.56
Adre,2,TD,1579611265,11,13.47,22.2,81.86,20.67
Hamilton,40,US,1579611242,73,39.18,-84.53,21.99,3.69
Bathsheba,40,BB,1579611111,74,13.22,-59.52,78.8,20.8
Dali,52,CN,1579611268,83,25.7,100.18,42.22,4.65
Young,2,UY,1579611269,86,-32.68,-57.63,79.0,1.99
Kandrian,80,PG,1579611271,92,-6.22,149.55,76.5,7.85
San Quintin,100,MX,1579611272,83,30.48,-115.95,55.35,1.14
Kiama,2,AU,1579611273,94,-34.68,150.87,71.01,1.12
Viedma,0,AR,1579611274,41,-40.81,-63.0,73.29,4.63
Cidreira,96,BR,1579611275,83,-30.18,-50.21,75.27,22.24
Verkhnevilyuysk,42,RU,1579611276,96,63.45,120.32,-20.63,4.5
Beloha,38,MG,1579611278,41,-25.17,45.05,84.07,17.76
Nantucket,1,US,1579611117,68,41.28,-70.1,26.01,14.99
Poso,66,ID,1579611280,66,-1.4,120.75,67.35,3.51
Kruisfontein,100,ZA,1579611281,91,-34.0,24.73,63.1,17.98
Swan River,99,CA,1579611282,81,52.11,-101.27,28.53,12.12
Nampula,75,MZ,1579611283,100,-15.12,39.27,75.2,6.93
Lompoc,90,US,1579611075,100,34.64,-120.46,53.01,3.36
Padang,96,ID,1579611286,96,-0.95,100.35,71.74,3.04
Ranong,20,TH,1579611287,66,9.97,98.63,84.2,6.93
Sungaipenuh,98,ID,1579611037,98,-2.08,101.38,65.95,3.09
Mikuni,75,JP,1579611289,80,36.22,136.15,35.6,3.36
Margherita di Savoia,3,IT,1579611290,57,41.37,16.15,55.0,9.17
Mahebourg,75,MU,1579611291,83,-20.41,57.7,82.4,8.05
Mabaruma,100,GY,1579611292,93,8.2,-59.78,75.09,2.64
Aklavik,5,CA,1579611293,75,68.22,-135.01,-20.2,5.82
Saint-Joseph,100,RE,1579611295,88,-21.37,55.62,82.4,14.99
Along,33,IN,1579611296,88,28.17,94.77,50.34,1.1
Nguruka,93,TZ,1579611297,76,-5.11,31.04,74.32,4.32
Laguna,40,US,1579611092,93,38.42,-121.42,48.99,9.17
Kaitangata,95,NZ,1579611299,94,-46.28,169.85,56.43,11.12
Karlshamn,75,SE,1579611300,93,56.17,14.86,45.0,11.41
Kenai,90,US,1579611301,61,60.55,-151.26,19.99,4.7
Dudinka,18,RU,1579611302,64,69.41,86.18,-43.6,8.95
Moyale,94,KE,1579611304,16,3.52,39.06,93.58,6.42
Zeya,100,RU,1579611305,97,53.75,127.27,-16.49,3.24
Khatanga,99,RU,1579611306,98,71.97,102.5,-23.49,5.88
Dingle,11,PH,1579611307,87,11.0,122.67,71.11,10.2
Teguise,75,ES,1579611308,52,29.06,-13.56,64.4,4.7
Megion,41,RU,1579611309,91,61.03,76.11,-2.2,4.47
Talnakh,22,RU,1579611310,64,69.49,88.4,-43.6,8.95
Odawara,20,JP,1579611312,42,35.26,139.16,44.6,17.22
Hirara,0,JP,1579611313,66,24.8,125.28,67.66,11.48
East London,40,ZA,1579611314,83,-33.02,27.91,73.4,5.82
Abrau-Dyurso,75,RU,1579611315,80,44.69,37.59,33.8,11.18
Porto-Vecchio,100,FR,1579611316,87,41.59,9.28,60.8,3.36
Edd,85,ER,1579611317,63,13.93,41.69,80.31,13.96
Yeppoon,77,AU,1579611318,70,-23.13,150.73,84.2,4.7
Trelew,0,AR,1579611319,24,-43.25,-65.31,79.12,6.11
Nishihara,20,JP,1579611321,67,26.18,127.76,62.6,6.93
Departamento de Maldonado,90,UY,1579611322,94,-34.67,-54.92,75.2,5.82
Mecca,0,SA,1579611101,35,21.43,39.83,76.12,8.55
Charters Towers,87,AU,1579611113,80,-20.1,146.27,78.22,3.62
Gurupi,79,BR,1579611325,77,-11.73,-49.07,79.77,8.55
Nemuro,70,JP,1579611326,79,43.32,145.57,25.36,19.82
San Carlos,100,VE,1579611327,71,9.66,-68.58,76.93,2.1
Maxixe,75,MZ,1579611329,54,-23.86,35.35,82.4,9.17
Mitsamiouli,75,KM,1579611330,74,-11.38,43.28,87.8,13.87
Bowen,72,AU,1579611331,88,-20.02,148.23,82.0,2.24
Lavrentiya,99,RU,1579611332,96,65.58,-171.0,-0.29,7.96
Coyhaique,20,CL,1579611333,68,-45.58,-72.07,64.4,6.93
Fairbanks,90,US,1579611267,76,64.84,-147.72,-11.0,2.06
Yulara,40,AU,1579611336,33,-25.24,130.99,91.4,12.75
Chulman,96,RU,1579611337,99,56.85,124.91,-19.01,1.57
Saldanha,0,ZA,1579611338,64,-33.01,17.94,80.6,11.41
Borgarnes,90,IS,1579611339,98,64.54,-21.92,35.6,5.82
Lincoln,1,US,1579611126,84,40.8,-96.67,3.99,3.36
Kuusamo,75,FI,1579611341,86,65.97,29.18,30.2,18.34
Sumbe,86,AO,1579611343,59,-11.21,13.84,88.03,10.51
Hakkari,75,TR,1579611344,92,37.58,44.17,24.8,1.12
Sulina,93,RO,1579611345,58,45.16,29.65,41.36,10.69
Zyryanka,98,RU,1579611346,97,65.75,150.85,-19.64,5.01
Alice Springs,11,AU,1579611347,40,-23.7,133.88,87.8,16.11
Sur,3,OM,1579611348,47,22.57,59.53,74.46,12.62
Kodiak,20,US,1579611350,73,57.79,-152.41,19.4,8.05
Manacapuru,75,BR,1579611123,100,-3.3,-60.62,75.2,2.24
Andra,36,RU,1579611352,91,62.51,65.89,-0.08,10.16
Lashio,80,MM,1579611278,60,22.93,97.75,58.53,2.24
Jalalpur Jattan,40,PK,1579611354,58,32.64,74.22,59.0,6.93
Goderich,73,CA,1579611355,82,43.75,-81.72,25.0,10.0
Washougal,90,US,1579611356,81,45.58,-122.35,45.0,3.36
Athens,75,GR,1579611342,61,37.98,23.72,52.0,10.29
Fortuna,90,US,1579611359,62,40.6,-124.16,55.4,17.22
Zhezkazgan,90,KZ,1579611360,92,47.8,67.71,17.6,15.66
Sal Rei,20,CV,1579611361,65,16.18,-22.92,78.8,11.41
Siocon,30,PH,1579611362,67,7.71,122.14,80.04,11.05
Guanica,1,PR,1579611363,79,17.97,-66.91,80.01,11.81
Kyra,0,RU,1579611364,88,49.58,111.98,-7.19,2.46
Saint Anthony,1,US,1579611366,84,45.02,-93.22,3.2,6.93
Narrabri,0,AU,1579611367,31,-30.32,149.78,78.01,9.17
Beihai,68,CN,1579611368,80,21.48,109.1,69.85,18.52
Zhangjiakou,0,CN,1579611369,67,40.81,114.88,12.6,1.41
Rocha,34,UY,1579611370,77,-34.48,-54.33,75.88,6.89
Krasnyy Chikoy,81,RU,1579611371,99,50.36,108.75,-7.02,1.25
General Roca,0,AR,1579611373,50,-39.03,-67.58,75.2,6.93
Assiniboia,98,CA,1579611374,74,49.63,-105.98,31.91,11.65
Bara,61,NG,1579611375,15,10.37,10.73,92.44,10.51
Tombouctou,0,ML,1579611376,10,20.0,-3.0,83.57,9.35
Talagante,0,CL,1579611108,60,-33.67,-70.93,80.01,2.24
Leningradskiy,100,RU,1579611378,92,69.38,178.42,-10.71,10.0
Kudahuvadhoo,22,MV,1579611379,79,2.67,72.89,83.37,18.52
Bunog,52,PH,1579611380,85,9.14,117.78,75.6,9.04
Iskateley,100,RU,1579611382,91,67.68,53.15,12.94,16.73
Luanda,100,AO,1579611383,70,-8.84,13.23,84.04,11.5
Luderitz,7,NA,1579611384,54,-26.65,15.16,78.8,11.41
Makakilo City,1,US,1579611385,77,21.35,-158.09,71.6,3.36
Valparaiso,90,CL,1579611386,100,-33.04,-71.63,57.2,5.82
Masvingo,54,ZW,1579611387,62,-20.06,30.83,71.91,10.8
Kawalu,99,ID,1579611388,93,-7.38,108.21,73.15,2.24
Pisco,90,PE,1579611389,30,-13.7,-76.22,71.6,5.82
Sitka,90,US,1579611391,86,57.05,-135.33,37.4,6.93
Ambon,20,ID,1579611368,65,-3.7,128.18,82.4,5.82
Marsh Harbour,5,BS,1579611393,58,26.54,-77.06,68.86,9.08
Cayenne,75,GF,1579611394,69,4.93,-52.33,82.4,16.11
Evensk,98,RU,1579611395,79,61.95,159.23,-12.28,6.24
Tuatapere,100,NZ,1579611396,94,-46.13,167.68,57.99,1.66
Sawankhalok,8,TH,1579611397,44,17.32,99.83,88.0,4.09
Half Moon Bay,90,US,1579611195,87,37.46,-122.43,53.01,11.41
Nome,90,US,1579611265,85,64.5,-165.41,12.2,10.29
Birsk,90,RU,1579611401,96,55.42,55.54,22.77,7.49
Prince Rupert,90,CA,1579611402,75,54.32,-130.32,41.0,4.7
Progreso,20,MX,1579611403,87,21.28,-89.67,64.0,4.7
Port Macquarie,40,AU,1579611189,88,-31.43,152.92,77.0,5.82
Timiryazevskiy,75,RU,1579611405,77,56.49,84.88,1.99,4.47
Chara,100,RU,1579611406,99,56.91,118.26,-9.58,1.1
Aktas,90,KZ,1579611408,85,49.78,72.96,17.6,17.9
Te Anau,100,NZ,1579611409,87,-45.42,167.72,56.12,4.09
Bucerias,20,MX,1579611410,94,20.75,-105.33,73.0,2.24
Otradnyy,92,RU,1579611411,95,53.38,51.35,29.79,12.35
Eureka,90,US,1579611412,62,40.8,-124.16,55.4,17.22
Dauriya,0,RU,1579611413,84,49.93,116.87,-7.94,8.03
Flagstaff,90,US,1579611186,66,35.2,-111.65,48.2,8.05
Kibaya,85,TZ,1579611416,72,-5.3,36.57,76.1,5.12
Kainantu,100,PG,1579611417,96,-6.29,145.87,60.26,4.56
Ossora,17,RU,1579611418,88,59.24,163.07,-7.2,5.57
Palembang,40,ID,1579611419,88,-2.92,104.75,80.6,4.59
Englewood,90,US,1579611324,54,39.65,-104.99,37.4,3.02
Ipanema,20,BR,1579611422,74,-30.14,-51.22,82.4,4.7
Arlit,18,NE,1579611423,10,18.74,7.39,84.34,6.35
Killybegs,90,IE,1579611424,93,54.63,-8.45,50.0,12.75
Esperance,90,AU,1579611425,59,-33.87,121.9,60.8,14.99
Qaqortoq,75,GL,1579611426,74,60.72,-46.03,33.8,6.93
Gamba,3,GA,1579611428,73,-2.65,10.0,85.15,10.54
Gdynia,90,PL,1579611429,93,54.52,18.53,44.01,25.28
Ulagan,100,RU,1579611430,90,50.63,87.96,3.09,6.26
Kem,57,RU,1579611431,83,64.96,34.58,29.19,11.7
Touros,75,BR,1579611432,70,-5.2,-35.46,86.0,6.93
Singida,95,TZ,1579611433,53,-4.82,34.75,79.27,11.63
Itarema,59,BR,1579611434,76,-2.92,-39.92,82.49,5.3
Maryborough,62,AU,1579611435,85,-25.53,152.7,77.07,4.79
Belton,90,US,1579611396,92,38.81,-94.53,14.0,5.82
Provincia di Mantova,83,IT,1579611438,31,45.17,10.78,48.0,3.36
Whitehorse,20,CA,1579611246,84,60.72,-135.05,3.2,4.7
Cukai,86,MY,1579611159,83,4.25,103.42,80.6,6.93
Diffa,0,NE,1579611441,15,13.32,12.61,85.28,17.07
Banjar,75,ID,1579611442,79,-8.19,114.97,84.2,4.7
Urucui,17,BR,1579611443,82,-7.23,-44.56,78.76,6.64
Turinskaya Sloboda,90,RU,1579611445,97,57.62,64.39,2.35,5.23
Fare,80,PF,1579611446,71,-16.7,-151.02,81.64,5.39
San Cristobal,40,VE,1579611447,88,7.77,-72.22,75.2,2.24
Hambantota,40,LK,1579611448,74,6.12,81.12,86.0,8.05
Ballangen,90,NO,1579611449,92,68.34,16.83,30.99,26.4
Longyearbyen,20,SJ,1579611450,60,78.22,15.64,6.8,5.82
Samarai,100,PG,1579611451,80,-10.62,150.67,78.24,3.89
Mehamn,75,NO,1579611452,80,71.04,27.85,33.8,26.4
Nakhon Phanom,2,TH,1579611454,51,17.41,104.78,80.6,3.36
Engels,100,RU,1579611455,76,51.5,46.12,33.01,8.01
North Platte,1,US,1579611369,78,41.12,-100.77,17.6,11.41
Puerto Carreno,78,CO,1579611337,83,6.19,-67.49,78.8,4.7
Jiblah,84,YE,1579611458,77,13.92,44.15,64.27,6.22
Biryusinsk,100,RU,1579611459,89,55.96,97.82,6.19,10.98
Marsaxlokk,40,MT,1579611460,82,35.84,14.54,61.0,23.04
Brigantine,1,US,1579611462,61,39.41,-74.36,23.0,6.93
Boa Vista,75,BR,1579611463,61,2.82,-60.67,82.4,16.11
Tigil,100,RU,1579611464,95,57.8,158.67,9.52,7.16
Teguldet,100,RU,1579611465,97,57.31,88.17,-8.5,6.38
Kpandu,84,GH,1579611466,22,7.0,0.29,98.35,1.43
La Seyne-sur-Mer,99,FR,1579611467,47,43.1,5.88,57.99,25.28
Slonim,98,BY,1579611468,78,53.09,25.32,36.28,15.03
Los Llanos de Aridane,75,ES,1579611469,77,28.66,-17.92,60.8,14.99
Barsana,3,IN,1579611471,58,27.65,77.38,60.44,3.49
Pevek,100,RU,1579611472,97,69.7,170.31,-16.17,6.82
Lipin Bor,100,RU,1579611473,85,60.26,37.98,38.25,13.4
Bonthe,40,SL,1579611474,61,7.53,-12.51,87.46,7.16
Corinth,75,GR,1579611475,61,37.94,22.96,51.01,10.29
Ahipara,0,NZ,1579611476,99,-35.17,173.17,60.01,10.94
Guiratinga,100,BR,1579611477,89,-16.35,-53.76,76.17,1.92
Pilar,75,BR,1579611479,55,-9.6,-35.96,87.8,9.17
Isabela,75,PH,1579611480,74,6.71,121.97,82.4,4.7
Geraldton,90,AU,1579611481,73,-28.77,114.6,71.6,20.8
Zhob,55,PK,1579611482,48,31.34,69.45,45.5,4.23
Ambulu,96,ID,1579611483,66,-8.35,113.61,84.67,1.92
Umm Kaddadah,50,SD,1579611485,12,13.6,26.69,75.13,20.8
Atbasar,98,KZ,1579611486,95,51.8,68.33,16.25,9.26
Jalu,2,LY,1579611487,46,29.03,21.55,59.54,10.09
Sandviken,33,SE,1579611488,55,60.62,16.77,44.01,7.0
Sarangani,39,PH,1579611489,70,5.4,125.46,82.72,26.87
Muroto,0,JP,1579611490,78,33.28,134.15,39.61,5.64
Adrar,0,MR,1579611491,27,20.5,-10.07,70.97,6.71
Lhokseumawe,93,ID,1579611492,97,5.18,97.15,72.84,0.45
Rodeo,90,US,1579611494,100,38.03,-122.27,53.01,10.71
Gorontalo,42,ID,1579611495,82,0.54,123.06,75.81,1.86
Penzance,20,GB,1579611496,75,50.12,-5.54,48.99,9.17
Vila Franca do Campo,75,PT,1579611497,62,37.72,-25.43,59.0,19.46
Boden,2,SE,1579611497,59,65.83,21.69,35.6,13.87
Lauda-Konigshofen,90,DE,1579611499,92,49.57,9.7,39.99,6.93
Lalibela,46,ET,1579611500,15,12.03,39.03,78.67,5.84
Phangnga,20,TH,1579611501,70,8.45,98.53,84.2,3.36
Nueve de Julio,99,AR,1579611270,90,-35.44,-60.88,74.37,9.26
Pareora,100,NZ,1579611504,94,-44.49,171.21,63.0,3.0
Kisangani,98,CD,1579611505,52,0.52,25.2,89.6,6.93
San Andres,75,CO,1579611249,83,12.58,-81.7,78.8,4.7
Raahe,19,FI,1579611507,74,64.68,24.48,34.0,24.16
Solapur,0,IN,1579611508,29,17.68,75.92,87.21,7.96
Rocky Mount,1,US,1579611435,58,35.94,-77.79,26.6,5.82
